#Items	3300
#Nodes	6126
#Nodes2	6126
#Entities	2861
#Entities2	2861
#Relations	20
#Triples	316730
Sparsity rate	99.80652560846423
#Loops	14
#Triples<http://dbpedia.org/ontology/award>	45
#Head<http://dbpedia.org/ontology/award>	31
#Head-Entities<http://dbpedia.org/ontology/award>	31
#Tail<http://dbpedia.org/ontology/award>	40
#Tail-Entities<http://dbpedia.org/ontology/award>	0
#Triples<http://dbpedia.org/ontology/basedOn>	55
#Head<http://dbpedia.org/ontology/basedOn>	43
#Head-Entities<http://dbpedia.org/ontology/basedOn>	1
#Tail<http://dbpedia.org/ontology/basedOn>	41
#Tail-Entities<http://dbpedia.org/ontology/basedOn>	36
#Triples<http://dbpedia.org/ontology/cinematography>	1511
#Head<http://dbpedia.org/ontology/cinematography>	1488
#Head-Entities<http://dbpedia.org/ontology/cinematography>	0
#Tail<http://dbpedia.org/ontology/cinematography>	154
#Tail-Entities<http://dbpedia.org/ontology/cinematography>	154
#Triples<http://dbpedia.org/ontology/country>	347
#Head<http://dbpedia.org/ontology/country>	315
#Head-Entities<http://dbpedia.org/ontology/country>	0
#Tail<http://dbpedia.org/ontology/country>	30
#Tail-Entities<http://dbpedia.org/ontology/country>	30
#Triples<http://dbpedia.org/ontology/director>	1914
#Head<http://dbpedia.org/ontology/director>	1858
#Head-Entities<http://dbpedia.org/ontology/director>	2
#Tail<http://dbpedia.org/ontology/director>	358
#Tail-Entities<http://dbpedia.org/ontology/director>	356
#Triples<http://dbpedia.org/ontology/editing>	1197
#Head<http://dbpedia.org/ontology/editing>	1107
#Head-Entities<http://dbpedia.org/ontology/editing>	0
#Tail<http://dbpedia.org/ontology/editing>	149
#Tail-Entities<http://dbpedia.org/ontology/editing>	149
#Triples<http://dbpedia.org/ontology/openingFilm>	23
#Head<http://dbpedia.org/ontology/openingFilm>	13
#Head-Entities<http://dbpedia.org/ontology/openingFilm>	13
#Tail<http://dbpedia.org/ontology/openingFilm>	23
#Tail-Entities<http://dbpedia.org/ontology/openingFilm>	0
#Triples<http://dbpedia.org/ontology/series>	2
#Head<http://dbpedia.org/ontology/series>	2
#Head-Entities<http://dbpedia.org/ontology/series>	2
#Tail<http://dbpedia.org/ontology/series>	2
#Tail-Entities<http://dbpedia.org/ontology/series>	0
#Triples<http://dbpedia.org/ontology/starring>	9255
#Head<http://dbpedia.org/ontology/starring>	2582
#Head-Entities<http://dbpedia.org/ontology/starring>	2
#Tail<http://dbpedia.org/ontology/starring>	718
#Tail-Entities<http://dbpedia.org/ontology/starring>	707
#Triples<http://dbpedia.org/ontology/wikiPageWikiLink>	217004
#Head<http://dbpedia.org/ontology/wikiPageWikiLink>	4810
#Head-Entities<http://dbpedia.org/ontology/wikiPageWikiLink>	1631
#Tail<http://dbpedia.org/ontology/wikiPageWikiLink>	5316
#Tail-Entities<http://dbpedia.org/ontology/wikiPageWikiLink>	2156
#Triples<http://dbpedia.org/property/allWriting>	1749
#Head<http://dbpedia.org/property/allWriting>	1460
#Head-Entities<http://dbpedia.org/property/allWriting>	0
#Tail<http://dbpedia.org/property/allWriting>	376
#Tail-Entities<http://dbpedia.org/property/allWriting>	376
#Triples<http://dbpedia.org/property/composer>	2034
#Head<http://dbpedia.org/property/composer>	1903
#Head-Entities<http://dbpedia.org/property/composer>	0
#Tail<http://dbpedia.org/property/composer>	221
#Tail-Entities<http://dbpedia.org/property/composer>	220
#Triples<http://dbpedia.org/property/notableWork>	135
#Head<http://dbpedia.org/property/notableWork>	67
#Head-Entities<http://dbpedia.org/property/notableWork>	67
#Tail<http://dbpedia.org/property/notableWork>	123
#Tail-Entities<http://dbpedia.org/property/notableWork>	0
#Triples<http://dbpedia.org/property/producers>	2245
#Head<http://dbpedia.org/property/producers>	1708
#Head-Entities<http://dbpedia.org/property/producers>	0
#Tail<http://dbpedia.org/property/producers>	389
#Tail-Entities<http://dbpedia.org/property/producers>	389
#Triples<http://dbpedia.org/property/productionCompanies>	4312
#Head<http://dbpedia.org/property/productionCompanies>	2679
#Head-Entities<http://dbpedia.org/property/productionCompanies>	2
#Tail<http://dbpedia.org/property/productionCompanies>	240
#Tail-Entities<http://dbpedia.org/property/productionCompanies>	236
#Triples<http://dbpedia.org/property/story>	115
#Head<http://dbpedia.org/property/story>	90
#Head-Entities<http://dbpedia.org/property/story>	0
#Tail<http://dbpedia.org/property/story>	75
#Tail-Entities<http://dbpedia.org/property/story>	75
#Triples<http://purl.org/dc/terms/subject>	36009
#Head<http://purl.org/dc/terms/subject>	3147
#Head-Entities<http://purl.org/dc/terms/subject>	0
#Tail<http://purl.org/dc/terms/subject>	577
#Tail-Entities<http://purl.org/dc/terms/subject>	577
#Triples<http://purl.org/linguistics/gold/hypernym>	2752
#Head<http://purl.org/linguistics/gold/hypernym>	2752
#Head-Entities<http://purl.org/linguistics/gold/hypernym>	1
#Tail<http://purl.org/linguistics/gold/hypernym>	24
#Tail-Entities<http://purl.org/linguistics/gold/hypernym>	23
#Triples<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	36004
#Head<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	3232
#Head-Entities<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	0
#Tail<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	460
#Tail-Entities<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	460
#Triples<http://www.w3.org/2000/01/rdf-schema#seeAlso>	22
#Head<http://www.w3.org/2000/01/rdf-schema#seeAlso>	20
#Head-Entities<http://www.w3.org/2000/01/rdf-schema#seeAlso>	2
#Tail<http://www.w3.org/2000/01/rdf-schema#seeAlso>	19
#Tail-Entities<http://www.w3.org/2000/01/rdf-schema#seeAlso>	16
